ID,Sex,Age,ParticipantLTR,PartnerNumber,HadSex,AgeSex,Orientation,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,GenHealth,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24,CMVS25,CMVS26
544,1,29,1,2,1,20,2,2,1,12,4,5,5,4,5,4,5,5,5,6,5,5,5,5,5,4,6,6,5,3,5,6,5,6,2,3,4
545,2,38,2,0,2, ,1,0,0,0,2,5,5,5,6,6,6,6,6,6,6,6,4,2,3,6,7,7,2,2,4,4,6,6,4,6,4
546,2,28,1,3,1,16,1,1,1,2,4,5,5,6,3,6,4,2,4,4,6,6,7,7,6,2,2,4,6,6,5,4,4,5,6,6,3
547,1,30,1,6,1,16,2,4,2,2,4,5, ,4,6,4,4,3,4,5,6,3,4,4,5,4,5,4,5,5,4,5,5,4,3,4,2
548,2,38,1,2,1,18,1,2,2,30,3,5,2,2,4,6,3,3,5,5,6,5,5,5,4,2,3,4,5,6,3,4,4,6,6,6,4
549,1,28,1,2,1,16,2,5,1,4,4,5,6,5,5,5,5,6,5,4,5,6,1,4,4,4,4,4,4,5,5,6,5,5,6,3,6
550,2,34,1,3,1,24,1,1,1,9,4,5,5,7,7,7,7,2,2,2,2,2,1,1,1,7,7,7,7,6,7,4,5,3,1,1,1
551,1,25,1,3,1,20,2,3,1,15,4,5,2,5,3,2,1,3,2,3,3,3,2,1,2,2,4,2,1,3,2,3,4,2,2,4,3
552,1,21,2,5,1,16,2,3,1,2,2,5,2,5,4,2,6,3,5,2,7,4,2,4,6,3,3,6,3,6,5,3,4,4,5,2,3
553,1,37,1,10,1,17,2,6,1,2,4,5,3,3,7,4,7,3,5,5,6,6,1,1,2,6,6,5,2,2,4,2,6,6,5,7,4
554,2,51,1,2,1,16,1,2,1,0,4,5,4,3,1,3,3,4,3,4,2,3,4,6,4,2,1,1,4,2,2,3,1,6,7,7,4
555,1,31,1,3,1,18,2,5,1,3,2,5, ,5,4,2,4,5,3,4,4,3,4,4,6,3,4,5,2,5,4,2,5,4,3,4,3
556,1,40,1,3,1,16,2,7,1,10,4,5,3,5,6,5,7,2,1,3,1,2,5,4,5,6,6,6,3,3,6,2,6,6,6,5,3
557,1,28,2,3,1,16,2,3,2,4,4,5,5,5,5,5,5,5,4,5,5,3,1,1,4,4,4,4,4,5,5,4,5,5,6,4,5
558,2,24,1,2,1,14,1,3,1,20,4,5,4,5,4,5,5,4,4,5,4,5,5,5,5,4,3,4,4,4,3,3,3,4,5,4,5
559,1,26,3,3,2, ,2,0,0,0,5,5,6,6,5,6,6,5,6,4,4,2,6,5,7,6,6,5,6,6,5,6,4,5,3,2,3
560,2,48,1,8,1,16,1,20,1,0,2,6,5,6,7,5,6,6,5,6,6,4,3,2,2,6,6,7,3,3,7,4,7,6,1,3,1
561,2,50,1,4,1,21,1,9,1,12,4,6,6,6,1,6,6,2,4,4,4,5,7,7,6,1,1,1,6,6,5,6,2,5,7,7,7
562,1,25,1,1,2, ,2,1,1,1,4,6,7,7,6,6,7,6,6,7,6,1,6,6,6,6,7,6,6,6,6,6,7,6,4,3,1
